"","RETURNED_2ND_YR","levels","n","N","percentage","varNames"
"1",1,"ANTH 1105",26,35,0.742857142857143,"CORE_COURSE_NAME_1_S"
"2",1,"ANTH 1105I",7,8,0.875,"CORE_COURSE_NAME_1_S"
"3",1,"ANTH 1107",18,21,0.857142857142857,"CORE_COURSE_NAME_1_S"
"4",1,"ARTH 1100",144,175,0.822857142857143,"CORE_COURSE_NAME_1_S"
"5",1,"ASTR 1105",10,13,0.769230769230769,"CORE_COURSE_NAME_1_S"
"6",1,"BIOL 1125",34,44,0.772727272727273,"CORE_COURSE_NAME_1_S"
"7",1,"BIOL 1215K",87,98,0.887755102040816,"CORE_COURSE_NAME_1_S"
"8",1,"BIOL 1225K",4,7,0.571428571428571,"CORE_COURSE_NAME_1_S"
"9",1,"CHEM 1151",48,63,0.761904761904762,"CORE_COURSE_NAME_1_S"
"10",1,"CHEM 1151L",14,19,0.736842105263158,"CORE_COURSE_NAME_1_S"
"11",1,"CHEM 1211",36,48,0.75,"CORE_COURSE_NAME_1_S"
"12",1,"CHEM 1211L",1,2,0.5,"CORE_COURSE_NAME_1_S"
"13",1,"COMM 1110",201,241,0.83402489626556,"CORE_COURSE_NAME_1_S"
"14",1,"COMM 1110H",7,8,0.875,"CORE_COURSE_NAME_1_S"
"15",1,"COMM 1110I",6,9,0.666666666666667,"CORE_COURSE_NAME_1_S"
"16",1,"CPSC 1105",41,48,0.854166666666667,"CORE_COURSE_NAME_1_S"
"17",1,"CPSC 1301",19,25,0.76,"CORE_COURSE_NAME_1_S"
"18",1,"CPSC 1301L",2,5,0.4,"CORE_COURSE_NAME_1_S"
"19",1,"ECON 2105",100,127,0.78740157480315,"CORE_COURSE_NAME_1_S"
"20",1,"ECON 2106",85,102,0.833333333333333,"CORE_COURSE_NAME_1_S"
"21",1,"ENGL 1101",111,134,0.828358208955224,"CORE_COURSE_NAME_1_S"
"22",1,"ENGL 1101I",1,1,1,"CORE_COURSE_NAME_1_S"
"23",1,"ENGL 1102",538,627,0.858054226475279,"CORE_COURSE_NAME_1_S"
"24",1,"ENGL 2111",6,7,0.857142857142857,"CORE_COURSE_NAME_1_S"
"25",1,"ENGL 2136",2,3,0.666666666666667,"CORE_COURSE_NAME_1_S"
"26",1,"ENVS 1105",20,29,0.689655172413793,"CORE_COURSE_NAME_1_S"
"27",1,"FREN 1001",10,11,0.909090909090909,"CORE_COURSE_NAME_1_S"
"28",1,"FREN 1002",5,7,0.714285714285714,"CORE_COURSE_NAME_1_S"
"29",1,"FREN 2001",1,2,0.5,"CORE_COURSE_NAME_1_S"
"30",1,"FREN 2002",1,1,1,"CORE_COURSE_NAME_1_S"
